"","team_name","PlayerName","PA","OPS","wRC_plus","xwOBA","WAR","WPA","WPA_LI","Clutch","highlight"
"106","TBR","Yandy Díaz",396,0.7939,120.5375,0.37,1.5297,0.3762,0.9204,-0.5583,"Other"
"107","SDP","Jake Cronenworth",265,0.7554,119.9464,0.322,1.5131,0.4313,0.2832,0.1221,"Other"
"108","ARI","Josh Naylor",360,0.8229,127.3472,0.357,1.5091,1.4846,0.9458,0.4905,"Other"
"109","DET","Colt Keith",287,0.7854,120.8964,0.368,1.5049,0.6768,0.2429,0.5514,"Other"
"110","PHI","Alec Bohm",377,0.7228,100.9785,0.324,1.4994,-0.2723,-0.6956,0.4337,"Other"
"111","BOS","Trevor Story",378,0.7074,91.5571,0.309,1.4476,-0.5153,-0.4027,-0.1013,"Other"
"112","NYY","Paul Goldschmidt",359,0.7947,120.6916,0.352,1.4353,-0.2709,0.5936,-0.8995,"Other"
"113","ATH","Tyler Soderstrom",387,0.8043,120.8127,0.359,1.4312,0.9136,0.8024,0.1046,"Other"
"114","TBR","Brandon Lowe",343,0.811,125.1042,0.357,1.4119,1.0292,1.2902,-0.3013,"Other"
"115","MIL","Caleb Durbin",267,0.7124,106.5015,0.31,1.3766,1.6419,0.4869,1.0356,"Other"
"116","PHI","Bryce Harper",293,0.8139,127.9575,0.382,1.3606,1.5954,0.6879,0.9384,"Other"
"117","BOS","Jarren Duran",430,0.7447,101.4824,0.328,1.3531,-0.5759,0.4006,-0.9474,"Other"
"118","NYY","Ben Rice",301,0.7943,122.2358,0.409,1.3402,-0.5244,0.7059,-1.2711,"Other"
"119","ATL","Nick Allen",277,0.583,68.4782,0.267,1.3323,-1.5031,-1.7148,0.0759,"Other"
"120","MIL","Christian Yelich",377,0.7998,124.0768,0.338,1.3306,0.2259,0.9005,-0.6561,"Other"
"121","NYM","Jeff McNeil",224,0.7952,123.2844,0.328,1.3093,0.2047,0.659,-0.4551,"Other"
"122","SFG","Mike Yastrzemski",330,0.725,106.6462,0.314,1.3091,0.2703,-0.0172,0.2718,"Other"
"123","LAA","Nolan Schanuel",387,0.7632,114.0166,0.339,1.2949,1.8107,0.9922,0.6275,"Other"
"124","LAD","Tommy Edman",282,0.6935,92.4658,0.343,1.2886,0.1479,0.4421,-0.293,"Other"
"125","SFG","Heliot Ramos",404,0.7749,120.0112,0.337,1.272,0.751,0.6004,0.096,"Other"
"126","BAL","Jordan Westburg",174,0.8068,124.8487,0.355,1.2382,-0.0676,0.4448,-0.523,"Other"
"127","LAA","Jo Adell",318,0.801,121.385,0.396,1.2194,1.3437,1.3081,-0.0403,"Other"
"128","STL","Alec Burleson",308,0.8038,124.5059,0.35,1.2162,1.0887,1.0953,-0.02,"Other"
"129","HOU","Jose Altuve",388,0.7881,117.5568,0.304,1.1979,0.0114,0.0838,-0.0729,"Other"
"130","STL","Nolan Arenado",347,0.6935,93.0243,0.298,1.1833,0.6205,-0.3476,0.9284,"Other"
"131","TOR","Nathan Lukes",212,0.7813,121.7085,0.339,1.1534,0.4961,0.6382,-0.1885,"Other"
"132","SDP","Gavin Sheets",345,0.7751,119.221,0.362,1.15,1.0154,0.955,-0.0272,"Other"
"133","CLE","Daniel Schneemann",235,0.6806,91.3791,0.33,1.1499,0.4267,0.1541,0.2524,"Other"
"134","SDP","Jackson Merrill",264,0.713,103.3052,0.355,1.1487,-0.0807,0.7641,-0.8381,"Other"
"135","BOS","Romy Gonzalez",151,0.9651,157.2359,0.404,1.1417,0.6711,1.3701,-0.7617,"Other"
"136","TBR","Jake Mangum",222,0.7472,112.6524,0.309,1.1383,0.838,0.6703,0.2183,"Other"
"137","NYY","Jasson Domínguez",306,0.768,116.4222,0.324,1.1186,0.3723,0.8434,-0.4628,"Other"
"138","MIN","Ryan Jeffers",283,0.7487,112.2191,0.359,1.1077,0.0405,0.1604,-0.1168,"Other"
"139","MIN","Willi Castro",281,0.7781,119.8593,0.328,1.0954,0.107,0.6921,-0.5741,"Other"
"140","STL","Lars Nootbaar",384,0.7163,105.2671,0.331,1.0853,-0.4141,0.7086,-1.0944,"Other"
"141","MIA","Xavier Edwards",347,0.688,96.0194,0.293,1.0841,0.1067,-0.4932,0.5968,"Other"
"142","MIL","Rhys Hoskins",318,0.7671,115.495,0.328,1.0794,0.5824,0.4119,0.2224,"Other"
"143","ATH","Nick Kurtz",227,0.8731,133.9288,0.357,1.0586,0.7282,0.2576,0.4612,"Other"
"144","COL","Ryan McMahon",369,0.6936,82.8038,0.333,1.0257,-1.9781,-1.0881,-0.8978,"Other"
"145","CHW","Mike Tauchman",178,0.8301,134.4918,0.342,1.0219,0.9701,1.2045,-0.2294,"Other"
"146","PHI","Bryson Stott",340,0.6465,81.8834,0.307,1.0203,0.1006,-0.9199,1.0163,"Other"
"147","CIN","Jose Trevino",183,0.7716,108.2906,0.282,1.0201,-0.4412,-0.0694,-0.407,"Other"
"148","SEA","Jorge Polanco",286,0.7756,121.0105,0.355,1.0178,1.6767,0.7525,0.8233,"Other"
"149","TOR","Andrés Giménez",238,0.6219,77.8285,0.324,1.0101,0.1379,-0.2902,0.4408,"Other"
"150","MIA","Dane Myers",209,0.7136,100.0784,0.329,1.0043,-0.6508,-0.4081,-0.1385,"Other"
"151","TBR","José Caballero",240,0.6353,83.9853,0.286,1.0008,-0.4196,-0.2026,-0.1543,"Other"
"152","BAL","Jackson Holliday",365,0.7272,104.1179,0.335,0.9928,-0.5848,-0.4585,-0.2001,"Other"
"153","PHI","J.T. Realmuto",316,0.6842,91.006,0.323,0.9879,-0.9744,-0.4937,-0.5072,"Other"
"154","ARI","Pavin Smith",264,0.8172,129.6342,0.332,0.9741,0.2283,0.7739,-0.5162,"Other"
"155","BAL","Adley Rutschman",276,0.6907,97.2278,0.35,0.9701,-0.7063,-0.195,-0.6116,"Other"
"156","PIT","Ke'Bryan Hayes",342,0.5782,61.0163,0.284,0.9634,-1.8343,-1.8005,0.1653,"Other"
"157","NYM","Brett Baty",238,0.6971,97.0847,0.329,0.9552,-0.1846,0.0397,-0.224,"Other"
"158","- - -","Kody Clemens",164,0.7806,114.2368,0.367,0.9076,0.5206,0.1503,0.386,"Other"
"159","LAA","Mike Trout",290,0.8132,120.592,0.398,0.9003,0.3842,0.8296,-0.4586,"Other"
"160","CHW","Chase Meidroth",287,0.6352,85.0016,0.306,0.8799,-0.5116,-0.774,0.2457,"Other"
"161","CLE","Carlos Santana",352,0.6885,97.3579,0.308,0.876,-0.1368,0.3577,-0.494,"Other"
"162","MIN","Carlos Correa",318,0.6865,90.7415,0.32,0.8743,-1.9216,-0.6613,-1.2913,"Other"
"163","NYY","Anthony Volpe",378,0.6772,88.2539,0.309,0.8372,-1.9976,-0.8649,-1.1619,"Other"
"164","ATH","Shea Langeliers",263,0.7199,93.0774,0.317,0.8353,-1.0406,-0.4712,-0.5388,"Other"
"165","CLE","Gabriel Arias",281,0.6615,86.2986,0.3,0.8314,-0.2756,-0.871,0.5905,"Other"
"166","CHC","Ian Happ",394,0.6959,100.1758,0.341,0.8299,0.1866,0.1189,0.0805,"Other"
"167","ATL","Marcell Ozuna",384,0.7483,114.3591,0.374,0.8067,-0.3506,0.4357,-0.7734,"Other"
"168","ARI","Lourdes Gurriel Jr.",376,0.7227,98.3115,0.314,0.7966,-0.9852,-0.0328,-1.0023,"Other"
"169","CHW","Lenyn Sosa",289,0.7217,98.478,0.326,0.7962,-0.8921,0.2899,-1.194,"Other"
"170","TBR","Josh Lowe",207,0.7338,106.6568,0.347,0.7906,-0.1624,0.4315,-0.6044,"Other"
"171","WSN","Alex Call",212,0.7759,123.1982,0.329,0.7854,-0.6557,0.399,-0.9918,"Other"
"172","NYM","Luis Torrens",186,0.5873,70.8193,0.369,0.7792,-0.6506,-0.7596,0.0448,"Other"
"173","KCR","Vinnie Pasquantino",396,0.7716,110.4012,0.337,0.7784,0.7626,0.7282,0.0478,"Other"
"174","CIN","Matt McLain",348,0.6273,74.2964,0.299,0.7745,-2.8233,-1.5576,-1.3833,"Other"
"175","ARI","Alek Thomas",273,0.6734,86.86,0.297,0.7739,-0.58,-0.7714,0.1309,"Other"
"176","DET","Kerry Carpenter",280,0.7795,114.2948,0.344,0.7724,0.0528,1.5268,-1.4605,"Other"
"177","MIA","Liam Hicks",193,0.7637,116.9772,0.332,0.7642,0.0791,0.0794,-0.0018,"Other"
