"","team_name","PlayerName","PA","OPS","wRC_plus","xwOBA","WAR","WPA","WPA_LI","Clutch","highlight"
"232","PIT","Joey Bart",215,0.6137,78.2968,0.313,0.2019,-1.1452,-0.8915,-0.1255,"Other"
"233","LAA","Logan O'Hoppe",292,0.7017,91.3534,0.324,0.1642,-1.5428,-1.0439,-0.3745,"Other"
"234","SEA","Dylan Moore",186,0.6706,91.618,0.286,0.16,-1.5255,-0.2202,-1.0478,"Other"
"235","SEA","Donovan Solano",152,0.6482,87.6035,0.274,0.1549,-1.2435,-0.3748,-0.8252,"Other"
"236","CIN","Santiago Espinal",272,0.5976,64.9799,0.263,0.1329,-2.1062,-0.9573,-1.2484,"Other"
"237","CHW","Edgar Quero",206,0.6847,96.9667,0.297,0.1289,-0.4158,-0.2925,-0.0897,"Other"
"238","PIT","Adam Frazier",261,0.6568,82.4035,0.281,0.1275,-0.1748,-0.8722,0.7209,"Other"
"239","HOU","Christian Walker",368,0.6763,89.2946,0.317,0.1208,-0.3895,-0.0981,-0.2996,"Other"
"240","HOU","Yainer Diaz",335,0.6812,87.2954,0.336,0.1144,-1.4969,-0.3304,-1.2745,"Other"
"241","PIT","Tommy Pham",230,0.6551,83.1974,0.289,0.087,-0.5523,-0.3413,-0.1695,"Other"
"242","CIN","Gavin Lux",306,0.7261,103.8231,0.302,0.0852,0.1998,0.0445,0.1687,"Other"
"243","WSN","José Tena",154,0.6896,95.383,0.32,0.0822,-0.3672,-0.1568,-0.2166,"Other"
"244","PIT","Spencer Horwitz",171,0.6502,79.4338,0.299,0.0817,-0.8441,-0.7136,-0.0897,"Other"
"245","MIN","Brooks Lee",290,0.6741,86.1641,0.286,0.0787,0.3597,-0.2596,0.6355,"Other"
"246","TEX","Jonah Heim",275,0.6194,71.3883,0.273,0.0723,-0.3488,-0.6484,0.2755,"Other"
"247","BOS","Abraham Toro",190,0.7516,103.3215,0.315,0.069,0.412,0.2586,0.1717,"Other"
"248","SEA","Mitch Garver",166,0.642,91.3708,0.294,0.0638,-0.647,-0.2612,-0.3326,"Other"
"249","CHW","Luis Robert Jr.",299,0.5964,64.7899,0.315,0.0619,-1.3311,-0.3869,-0.7609,"Other"
"250","MIA","Javier Sanoja",193,0.6118,67.6115,0.289,0.0516,0.0475,-0.5895,0.6318,"Other"
"251","WSN","Dylan Crews",173,0.6203,74.1259,0.343,0.0363,-0.0158,-0.54,0.5246,"Other"
"252","DET","Trey Sweeney",244,0.5993,69.2295,0.268,0.0351,-0.5923,-0.8163,0.1346,"Other"
"253","ARI","Tim Tawa",173,0.6165,69.114,0.3,0.0334,-1.5481,-0.7059,-0.8093,"Other"
"254","ARI","Jose Herrera",155,0.5594,63.2181,0.25,0.0134,-0.1393,-0.1773,0.0172,"Other"
"255","ARI","Randal Grichuk",171,0.7491,100.5602,0.352,0.002,0.0609,-0.0837,0.1489,"Other"
"256","CHC","Matt Shaw",231,0.5586,61.4218,0.302,-0.0072,-1.158,-0.9205,-0.4193,"Other"
"257","SDP","Luis Arraez",384,0.7096,101.6354,0.285,-0.0196,0.372,-0.61,0.9657,"Other"
"258","PHI","Nick Castellanos",382,0.7618,109.5414,0.338,-0.0386,-2.0045,0.2023,-2.0727,"Other"
"259","TEX","Kyle Higashioka",171,0.6363,79.269,0.284,-0.0612,-0.3262,-0.4547,0.1178,"Other"
"260","LAD","Enrique Hernández",186,0.6263,74.3145,0.314,-0.0832,-1.2257,-0.8015,-0.5607,"Other"
"261","CIN","Will Benson",168,0.691,83.8191,0.369,-0.0875,0.074,-0.1417,0.2263,"Other"
"262","ATH","Miguel Andujar",189,0.7016,90.0154,0.292,-0.1215,-0.452,-0.4327,-0.0311,"Other"
"263","ATH","Max Muncy",195,0.6765,81.71,0.28,-0.1677,-0.7267,-0.5318,-0.3889,"Other"
"264","PIT","Alexander Canario",162,0.6212,73.2114,0.313,-0.1773,-0.3777,-0.7304,0.3715,"Other"
"265","MIN","Christian Vázquez",159,0.489,37.403,0.262,-0.1863,-1.3783,-1.2805,-0.1423,"Other"
"266","BOS","Kristian Campbell",263,0.6644,85.5722,0.296,-0.2003,-0.8508,-0.8781,0.0812,"Other"
"267","SDP","Elias Díaz",201,0.5667,64.9079,0.245,-0.2012,-2.3196,-1.1911,-1.0608,"Other"
"268","CHW","Andrew Benintendi",262,0.6857,86.1202,0.331,-0.2492,0.3207,0.1871,0.1128,"Other"
"269","WSN","Nathaniel Lowe",393,0.6983,95.1323,0.308,-0.2964,0.6101,-0.6738,1.2782,"Other"
"270","BAL","Ryan Mountcastle",200,0.6276,74.131,0.32,-0.3258,-0.192,-0.2185,0.004,"Other"
"271","NYY","Oswald Peraza",155,0.4845,35.8821,0.283,-0.3326,-1.1618,-1.2309,-0.3382,"Other"
"272","SEA","Rowdy Tellez",185,0.6822,91.5327,0.347,-0.3708,-0.6409,0.0525,-0.6746,"Other"
"273","KCR","Jonathan India",379,0.6664,87.2456,0.34,-0.3739,-1.7273,-1.4714,-0.3188,"Other"
"274","MIA","Eric Wagaman",344,0.6483,78.2113,0.317,-0.3886,-2.2811,-1.539,-0.716,"Other"
"275","PIT","Jared Triolo",160,0.5194,44.2566,0.307,-0.3926,-0.8021,-0.963,0.2213,"Other"
"276","TEX","Jake Burger",285,0.6619,81.4202,0.322,-0.4219,-1.3861,-0.913,-0.5254,"Other"
"277","WSN","Josh Bell",318,0.6787,91.6753,0.344,-0.4341,-1.5964,-0.6597,-1.0436,"Other"
"278","LAA","Jorge Soler",296,0.657,82.8619,0.294,-0.4621,0.1257,-0.5261,0.6453,"Other"
"279","CHW","Brooks Baldwin",169,0.6282,72.3931,0.295,-0.4771,-1.2696,-0.8306,-0.3732,"Other"
"280","NYM","Mark Vientos",247,0.6249,78.4527,0.291,-0.4831,-0.606,-0.7223,0.1372,"Other"
"281","ATH","JJ Bleday",233,0.6454,76.8296,0.273,-0.4916,-1.5225,-0.6611,-0.9316,"Other"
"282","ATL","Michael Harris II",360,0.5415,45.0212,0.292,-0.5028,-0.9162,-2.581,1.7743,"Other"
"283","LAD","Michael Conforto",300,0.6097,77.2646,0.34,-0.5181,-0.7343,-0.7708,-0.0797,"Other"
"284","SDP","Jose Iglesias",199,0.5585,64.7296,0.271,-0.589,0.4115,-0.6699,1.0333,"Other"
"285","KCR","Drew Waters",219,0.6032,65.2189,0.268,-0.592,-0.8139,-1.0156,0.2276,"Other"
"286","PIT","Bryan Reynolds",383,0.655,79.6746,0.353,-0.6572,-2.7417,-1.5803,-1.0244,"Other"
"287","LAA","Luis Rengifo",327,0.5963,64.4955,0.313,-0.6615,-1.3688,-1.4282,0.1218,"Other"
"288","- - -","Leody Taveras",180,0.5301,46.9197,0.24,-0.7476,-0.722,-1.0687,0.4007,"Other"
"289","COL","Brenton Doyle",323,0.5805,47.2986,0.308,-0.7626,-2.3916,-1.7025,-0.5734,"Other"
"290","COL","Kyle Farmer",217,0.6012,52.8628,0.262,-0.7726,-2.0196,-1.3703,-0.5717,"Other"
"291","STL","Jordan Walker",191,0.5625,59.9312,0.279,-0.8412,-0.7116,-0.9903,0.3157,"Other"
"292","TOR","Anthony Santander",209,0.5771,62.6314,0.274,-0.848,-1.2114,-0.7718,-0.3021,"Other"
"293","ATL","Alex Verdugo",213,0.5851,66.6305,0.312,-0.8893,-0.6108,-1.0783,0.5097,"Other"
"294","WSN","Keibert Ruiz",267,0.5948,65.946,0.287,-0.9504,-0.8621,-0.8507,-0.0384,"Other"
"295","CHW","Josh Rojas",174,0.4921,38.1966,0.262,-1.0061,-1.6003,-1.2246,-0.3371,"Other"
"296","- - -","Andrew Vaughn",205,0.5829,57.7911,0.332,-1.0822,-0.492,-1.1227,0.6551,"Other"
"297","KCR","Michael Massey",209,0.4787,25.0472,0.243,-1.1313,-2.3841,-2.1748,-0.2987,"Other"
"298","BAL","Heston Kjerstad",167,0.5664,56.4742,0.303,-1.1882,-1.9381,-0.9469,-0.9256,"Other"
"299","COL","Michael Toglia",297,0.653,66.5076,0.285,-1.3658,-1.389,-0.7548,-0.5265,"Other"
"300","- - -","LaMonte Wade Jr.",216,0.5183,51.324,0.282,-1.3757,-1.2695,-0.9495,-0.1177,"Other"
